Transcipt	KEGG_ID
MCU_008723-RA	K20412
MCU_009408-RA	
MCU_009544-RB	
MCU_011421-RB	K04712
MCU_007034-RA	
MCU_009051-RA	K20056
MCU_002148-RB	K01255
MCU_004110-RA	
MCU_003900-RA	K06236
MCU_004568-RB	K01836
MCU_010592-RA	K15281
MCU_000181-RA	
MCU_007853-RA	
MCU_009167-RA	
MCU_012433-RA	K24834
MCU_005399-RB	K02132
MCU_004789-RA	K18398
MCU_006156-RA	K01255
MCU_006125-RB	K15789
MCU_009341-RA	K24243
MCU_012628-RA	
MCU_014773-RA	
MCU_001101-RA	K00844
MCU_011345-RA	K09866
MCU_011957-RA	
MCU_007698-RA	
MCU_009785-RA	K09571
MCU_007718-RA	
MCU_007388-RC	K06237
MCU_011751-RA	
MCU_014072-RA	K24243
MCU_009751-RA	
MCU_009754-RA	K24834
MCU_002156-RA	K01365
MCU_003681-RB	K15100
MCOS_0000606401-mRNA-1	K07375
MCU_012025-RA	K24834
MCU_006896-RA	
MCU_007601-RB	
MCU_008458-RA	
MCU_003474-RA	K20235
MCU_007492-RA	K04364
MCU_003138-RA	
MCU_006550-RA	K01676
MCU_010279-RA	
MCU_001537-RA	
MCU_004650-RA	K20412
MCU_006406-RA	K04460
MCU_000743-RA	K00261
MCU_000200-RA	
MCU_004342-RB	K04570
MCU_009755-RA	
MCU_007528-RA	K00963
MCU_006544-RA	
MCU_009894-RB	K06236
MCU_006851-RB	K12389
MCU_000182-RA	K24834
MCU_009662-RA	
MCU_005853-RB	K01887
MCU_006695-RA	K08957
MCU_006991-RA	
MCU_003537-RA	
MCU_000184-RA	K24834
MCU_004111-RA	K24243
MCU_008520-RA	K06497
MCU_010191-RA	
MCU_014000-RA	
MCU_008739-RB	K20412
MCU_001757-RA	K11279
MCU_001233-RA	
MCU_006988-RA	
MCU_004041-RA	
MCU_009149-RD	
MCU_006874-RA	
MCU_010482-RA	
MCU_011015-RA	K06052
MCU_000435-RA	K01613
MCU_004179-RB	
MCU_010950-RA	K00016
MCU_000497-RA	K04239
MCU_007027-RA	K12384
MCU_010700-RC	K01611
MCU_008284-RA	
MCU_004656-RB	
MCU_005492-RA	
MCU_012017-RA	K01785
MCU_005393-RA	
MCU_010485-RA	K11826
MCU_008478-RA	
MCU_007032-RA	
MCU_010829-RA	
MCU_001950-RA	
MCU_007074-RC	
MCU_006924-RA	
MCU_002069-RA	K20412
MCU_007885-RA	K15292
MCU_013758-RA	K20412
MCU_006167-RA	K13084
MCU_006196-RB	K03783
MCU_012951-RA	
MCU_006041-RA	K01379
MCU_009290-RA	
MCU_009753-RA	
MCU_004466-RA	K01596
MCU_008738-RA	K24834
MCU_006321-RA	
MCU_005567-RA	
MCU_013033-RA	K18398
MCU_007587-RA	
MCOS_0000026401-mRNA-1	K07375
MCU_005734-RA	
MCU_008677-RC	K19028
MCU_007026-RA	
MCU_007520-RA	
MCU_012372-RB	K07417
MCU_008612-RA	
MCU_004216-RA	K01408
MCU_003102-RA	K02183
MCU_003659-RA	
MCU_007290-RA	K20412
MCU_001819-RB	K10644
MCOS_0000886201-mRNA-1	K03937
MCU_004199-RA	K13866
MCU_004242-RB	K05289
MCU_002708-RA	K00623
MCU_005676-RA	
MCU_002198-RA	K13997
MCU_012221-RA	K08752
MCU_007079-RB	
MCU_006140-RA	K20412
MCU_004792-RA	K18398
MCU_012212-RB	
MCU_006707-RA	
MCU_014001-RA	
MCU_006984-RD	K12567
MCU_011443-RB	K01754
MCU_003925-RC	K01900
MCU_012765-RB	
MCU_006627-RA	
MCU_007868-RA	
MCU_011635-RA	
MCU_008928-RB	K15332
MCU_000494-RA	K17261
MCU_004523-RA	K10870
MCU_013603-RA	
MCU_006268-RB	K21635
MCU_000318-RA	K01431
MCU_008959-RA	
MCU_009508-RA	K05687
MCU_005263-RA	K09580
MCU_008604-RB	K07934
MCU_000489-RA	K16944
MCU_007699-RA	K20412
MCU_000183-RA	
MCU_005385-RA	K20412
MCU_006683-RA	K03783
MCU_004639-RA	K23532
MCU_010789-RA	K02147
MCU_002124-RA	K06535
MCU_005953-RA	
MCU_009069-RA	K08266
MCU_009285-RA	K05658
MCU_007811-RA	K07512
MCU_002538-RA	K00382
MCU_003236-RA	K16330
MCU_008366-RA	K00873
MCU_005099-RA	K01444
MCU_006123-RB	
MCU_010542-RC	K10448
MCU_005875-RA	
MCU_011845-RA	
MCU_005617-RC	
MCU_014134-RA	K20412
MCU_004249-RA	K17917
MCU_010677-RA	
MCU_011181-RA	K13044
MCU_002641-RA	
MCU_008794-RA	
MCU_004132-RA	K07532
MCU_005899-RA	K19942
MCU_000199-RA	K20412
MCU_009621-RB	
MCU_003145-RA	
MCU_004474-RG	
MCU_008577-RA	
MCU_004157-RA	
MCU_002419-RA	
MCU_001395-RA	
MCU_007601-RA	
MCU_010189-RA	K08114
MCU_002230-RA	
MCU_002550-RA	K20412
MCU_007585-RA	
MCU_005612-RB	
MCU_007892-RA	
MCU_009991-RD	K04523
MCU_000189-RA	K24834
MCU_004203-RA	K05751
MCU_002688-RA	
MCU_006442-RA	
MCU_006197-RA	K03783
MCU_008616-RA	
MCU_003942-RA	K06497
MCU_013471-RA	
MCU_009621-RA	K02583
MCU_008809-RA	
MCU_006691-RB	K13126
MCU_014357-RA	
MCU_007893-RA	
MCU_006380-RB	
MCU_000293-RA	
MCU_008011-RA	
MCU_010622-RC	
MCU_008170-RA	
MCU_007097-RA	
MCU_001252-RA	K19201
MCU_001561-RA	
MCU_002173-RA	K06236
MCU_000421-RE	K11536
MCU_006720-RA	K00717
MCU_012751-RA	K20412
MCU_000656-RA	K04443
MCU_010044-RA	K05758
MCU_008060-RA	K18269
MCU_006182-RB	K06063
MCU_009964-RA	
MCU_004156-RA	
MCU_005529-RE	
MCU_005253-RB	
MCU_004868-RB	
MCU_001921-RA	K16811
MCU_004227-RA	
MCU_000367-RA	
MCU_008529-RA	
MCU_007084-RA	
MCU_008290-RA	
MCU_003983-RA	
MCU_002915-RA	
MCU_004843-RB	K01647
MCU_014354-RA	
MCU_001649-RA	
MCU_011436-RB	K22376
MCU_011777-RA	
MCU_001935-RA	K12163
MCU_004255-RA	
MCU_006617-RA	K24834
MCU_000019-RA	
MCU_008236-RA	K24725
MCU_009004-RA	K17348
MCU_004993-RA	
MCU_002258-RC	K15980
MCU_003374-RB	K05613
MCU_002557-RA	K04707
MCU_001917-RA	K13443
MCU_006121-RB	
MCU_007187-RA	
MCU_007474-RB	K02865
MCU_005816-RA	K05856
MCU_002621-RA	
MCU_004116-RB	
MCU_010929-RA	
MCU_003369-RA	K12757
MCU_005939-RB	K05291
MCU_011707-RA	K20412
MCU_006396-RA	
MCU_012874-RA	
MCU_002705-RA	K00939
MCU_002277-RA	K09309
MCU_012804-RB	K00789
MCU_004020-RA	
MCU_006611-RA	K01899
MCU_007921-RA	
MCU_002619-RA	
MCU_006060-RA	K00753
MCU_011420-RA	
MCU_007977-RA	
MCU_001795-RA	
MCU_003356-RA	K01092
MCU_006068-RA	K10478
MCOS_0001056401-mRNA-1	
MCU_011866-RB	
MCU_001215-RA	K05736
MCU_007805-RB	K04378
MCU_000190-RA	K20412
MCU_009340-RB	K24836
MCU_005392-RA	K20412
MCU_008445-RB	
MCU_002480-RA	
MCOS_0000428801-mRNA-1	
MCU_011822-RA	
MCU_009893-RA	K09877
MCU_011323-RA	K14648
MCU_000428-RA	K17277
MCU_000903-RB	K10394
MCU_000188-RA	
MCU_003859-RA	K03027
MCU_000297-RB	K20295
MCU_009045-RB	K16536
MCU_012695-RA	
MCU_003033-RB	K05849
MCU_003660-RC	K18668
MCU_007632-RA	K06269
MCU_000462-RB	
MCOS_0000826701-mRNA-1	
MCU_001560-RA	
MCU_005700-RA	K24243
MCU_007437-RA	K19519
MCU_013550-RA	K13025
MCU_010504-RA	K24243
MCU_010527-RA	
MCU_001510-RB	K04505
MCU_004676-RB	
MCOS_0000370301-mRNA-1	
MCU_009347-RA	
MCU_003033-RC	K05849
MCU_008059-RA	K17608
MCU_003834-RA	
MCU_003204-RF	
MCU_007615-RE	
MCU_014181-RA	
MCU_011889-RE	
MCOS_0000404001-mRNA-1	
MCU_003471-RC	
MCU_002351-RA	K07841
MCU_000979-RA	K04382
MCU_005230-RB	
MCU_006170-RB	K10251
MCU_003549-RA	
MCU_008611-RA	K05692
MCU_008856-RA	K13755
MCU_007509-RA	
MCOS_0000491401-mRNA-1	
MCU_011409-RA	K05691
MCU_010478-RA	K23678
MCU_006118-RA	K11426
MCU_003849-RB	K03954
MCU_006651-RA	
MCU_005289-RA	K05757
MCU_000575-RA	
MCU_008161-RA	K03267
MCU_004375-RD	K24222
MCU_010828-RA	K12829
MCU_004358-RB	K05543
MCU_004409-RB	K01304
MCU_007312-RA	
MCU_001539-RA	
MCU_005465-RA	K05662
MCU_014564-RA	K01893
MCU_011779-RA	K18753
MCU_009400-RC	
MCU_004875-RA	K10839
MCU_000559-RA	K07374
MCU_011846-RA	
MCU_005017-RC	K14395
MCU_000525-RA	
MCU_014779-RA	
MCU_010833-RA	
MCU_010799-RA	K06943
MCU_003163-RA	K13781
MCU_003499-RA	
MCU_012385-RA	K00910
MCU_005882-RA	
MCU_002467-RA	K10158
MCU_005187-RA	K15779
MCU_006164-RA	K22204
MCU_001474-RA	K05762
MCU_009817-RE	
MCU_004755-RA	K13566
MCU_007895-RA	K16336
MCU_004192-RA	K03014
MCU_004698-RA	K10808
MCU_010417-RA	
MCU_007133-RA	
MCU_006371-RB	
MCU_004474-RD	
MCU_002615-RB	K05613
MCU_011978-RA	
MCU_008399-RA	
MCU_010502-RA	
MCU_011214-RA	
MCU_007296-RA	
MCU_007042-RA	K18080
MCU_001640-RA	K18669
MCU_008968-RB	K20045
MCU_010406-RA	
MCU_011313-RB	K05312
MCU_004908-RB	K19998
MCU_000443-RA	K00234
MCU_010532-RA	K11674
MCU_001598-RA	
MCU_004585-RA	K13885
MCU_005391-RA	
MCU_009132-RA	
MCU_011560-RA	
MCU_004815-RB	K14376
MCU_006374-RC	
MCU_010592-RB	K15281
MCU_008904-RC	K20796
MCU_001219-RA	K12303
MCU_000764-RA	
MCU_009963-RB	
MCU_005194-RA	
MCU_004968-RB	
MCU_002493-RA	K10082
MCU_004907-RA	
MCU_013428-RA	K24834
MCU_007725-RF	K14572
MCU_010567-RA	
MCU_007115-RA	
MCU_002867-RB	K20182
MCU_007163-RC	K10415
MCU_004608-RA	K18466
MCU_000171-RA	K24834
MCU_003308-RA	K00207
MCU_011889-RB	
MCU_012632-RA	
MCU_004800-RA	K12670
MCU_004116-RA	
MCU_002330-RA	K00717
MCU_006161-RA	K01641
MCOS_0000523301-mRNA-1	
MCU_005876-RA	K09399
MCU_014345-RA	
MCU_001860-RA	
MCU_006425-RA	K12046
MCU_012567-RA	K06497
MCU_007993-RA	
MCU_010773-RA	
MCU_003396-RA	K14859
MCU_010672-RA	K07887
MCU_009217-RA	K07292
MCU_007489-RA	K06237
MCU_008829-RA	
MCU_002895-RB	
MCU_005457-RB	K02264
MCU_011438-RC	K01937
MCU_005274-RA	
MCU_006350-RB	K24013
MCOS_0000209501-mRNA-1	
MCU_012629-RA	
MCU_007974-RA	
MCU_013064-RA	
MCU_009414-RA	
MCU_000191-RA	K20412
MCU_003118-RB	K00967
MCU_009390-RA	
MCU_010776-RA	
MCU_006196-RA	K03783
MCU_006216-RA	
MCU_007529-RA	K09027
MCU_007401-RA	K12471
MCU_012369-RB	K02930
MCU_004995-RA	K01867
MCU_005917-RA	
MCU_002803-RA	
MCU_004335-RC	
MCU_000467-RB	
MCU_008598-RA	
MCU_000107-RA	
MCU_008839-RA	K01758
MCU_004139-RA	K03063
MCU_004959-RA	K06630
MCU_002085-RA	
MCU_009688-RB	
MCU_013160-RA	
MCU_001667-RC	K20030
MCU_013344-RA	
MCU_006552-RA	
MCU_000431-RA	K15210
MCU_007188-RA	
MCU_002383-RB	
MCU_012622-RA	K08743
MCU_000187-RA	
MCU_000798-RA	
MCU_007807-RA	
MCU_012651-RA	K00820
MCU_004034-RA	K14012
MCU_012185-RA	
MCU_003255-RC	
MCU_009587-RD	
MCU_006609-RA	K12820
MCOS_0000786701-mRNA-1	K00851
MCU_006822-RC	K13528
MCOS_0000941401-mRNA-1	K13511
MCU_010820-RA	K08054
MCU_011254-RA	K02265
MCU_000759-RB	K06130
MCU_006665-RA	
MCU_001213-RC	
MCU_001132-RA	K01874
MCU_007558-RB	
MCU_002972-RA	K12581
MCU_004713-RB	K00873
MCU_012642-RA	K02202
MCU_001358-RA	K09525
MCU_007998-RA	K23739
MCU_005027-RB	
MCU_010741-RB	
MCU_014004-RA	K01049
MCU_013601-RA	K01301
MCU_010281-RA	K24834
MCU_002630-RA	
MCU_006210-RA	K08857
MCU_004127-RA	K19902
MCU_007297-RA	K20412
MCU_009147-RB	
MCU_011180-RA	K10258
MCU_007223-RB	K16493
MCU_001058-RA	
MCU_003929-RA	
MCU_008532-RA	
MCU_010503-RB	K24243
MCU_004902-RA	K00006
MCU_007548-RA	
MCU_009025-RB	
MCU_008986-RA	K14165
MCU_007291-RA	
MCU_004522-RA	K23500
MCU_014433-RA	
MCU_004600-RA	K12821
MCU_013337-RA	
MCU_000720-RC	
MCU_010204-RA	K00717
MCU_014370-RA	
MCU_004609-RB	K20184
MCU_006689-RA	
MCU_000913-RA	
MCU_000506-RA	K11885
MCU_000217-RB	K04977
MCU_000332-RB	
MCU_009024-RA	
MCU_004412-RA	K20292
MCU_011947-RA	
MCU_007189-RA	K20412
MCU_005660-RA	
MCU_000917-RA	
MCU_008659-RA	
MCU_008872-RA	
MCU_000783-RA	K13783
MCU_004754-RA	K14947
MCU_007134-RC	K16461
MCOS_0000522901-mRNA-1	K06497
MCU_005301-RA	K05349
MCU_009031-RA	K12179
MCU_000072-RE	K20629
MCU_008975-RB	K11415
MCU_000918-RA	
MCU_008671-RA	
MCU_011787-RC	
MCU_009604-RA	
MCU_008443-RA	K06279
MCU_008875-RA	
MCU_011355-RB	K21871
MCU_006146-RA	
MCOS_0000085701-mRNA-1	
MCU_003701-RA	
MCU_002338-RA	K15105
MCOS_0000398101-mRNA-1	
MCU_006138-RA	
MCU_002696-RC	
MCU_010994-RA	
MCU_012852-RA	K11446
MCU_008956-RA	K09595
MCU_009587-RC	
MCU_004932-RC	K23935
MCU_003429-RA	
MCU_000369-RA	K22470
MCU_010673-RA	K07887
MCU_008516-RA	K07249
MCOS_0000720901-mRNA-1	
MCU_001893-RB	
MCU_007136-RA	K06127
MCU_009651-RA	K03627
MCU_009080-RA	K05692
MCU_010749-RA	K24834
MCU_006675-RA	K07752
MCU_004648-RB	
MCU_014566-RA	
MCU_005002-RA	K06096
MCU_010194-RA	K00757
MCU_011357-RB	K01834
MCU_003378-RA	
MCU_010179-RD	K12322
MCU_009703-RD	K02367
MCU_011677-RA	K07374
MCU_004028-RA	
MCU_010622-RH	
MCU_000826-RB	
MCU_004524-RA	
MCU_002890-RA	K03364
MCU_004300-RA	K15716
MCU_011860-RA	
MCU_003490-RA	K16186
MCU_006026-RA	
MCU_013071-RA	K10418
MCU_003642-RA	
MCU_004871-RA	
MCU_000884-RA	K17406
MCU_007069-RA	
MCU_001515-RA	
MCU_001827-RA	
MCU_014710-RA	
MCU_003497-RA	
MCU_008636-RA	
MCU_009925-RA	K19530
MCU_001338-RA	K22763
MCU_011291-RC	K01363
MCU_001494-RB	
MCU_011245-RC	K04131
MCU_012269-RA	K01893
MCU_009777-RA	
MCU_004457-RA	K08111
MCU_002006-RB	K24014
MCU_003884-RA	
MCU_012633-RA	K14169
MCU_007141-RA	
MCU_007432-RA	K05692
MCU_013227-RA	
MCU_012692-RA	K11460
MCU_002105-RA	K12817
MCU_010888-RA	
MCU_003733-RA	
MCU_009911-RC	
MCU_011266-RA	
MCOS_0000727901-mRNA-1	
MCU_001985-RC	K02211
MCU_014038-RA	K05667
MCU_001294-RA	K13806
MCU_011440-RA	
MCOS_0000532401-mRNA-1	
MCU_000952-RA	K12867
MCU_013447-RA	K01539
MCU_009512-RA	
MCU_002383-RD	
MCU_008207-RA	
MCU_002150-RA	K01255
MCU_002251-RA	
MCU_002224-RA	K16315
MCU_003122-RA	K05633
MCU_001823-RA	K10408
MCU_010316-RA	K15865
MCU_008073-RA	
MCU_012496-RA	
MCU_013300-RA	
MCU_009476-RB	
MCU_000814-RC	K18674
MCU_002780-RA	
MCU_004446-RA	
MCU_011108-RA	K09877
MCU_001220-RA	
MCU_000474-RA	
MCU_008484-RD	K01823
MCU_010144-RA	
MCU_000425-RA	
MCU_012849-RA	K14848
MCU_005642-RA	
MCU_005985-RB	K03248
MCU_006614-RA	
MCU_010866-RA	
MCU_011746-RA	K01050
MCU_005068-RA	K12900
MCU_001432-RA	
MCU_001816-RC	K11340
MCU_005129-RA	
MCU_006992-RC	K00852
MCU_003365-RB	K19984
MCU_012906-RA	K12387
MCU_004649-RB	K24834
MCU_005610-RA	K16803
MCU_003185-RA	K19476
MCU_004407-RA	K13704
MCU_000151-RA	K24687
MCU_009253-RA	
MCU_004330-RD	
MCU_007932-RA	K01540
MCU_001027-RA	K09228
MCU_004377-RA	K03754
MCU_014349-RA	K01530
MCU_003977-RC	K13171
MCU_006300-RA	K24427
MCU_006589-RJ	K19656
MCU_007953-RA	
MCU_005981-RA	K15014
MCU_009006-RD	K05728
MCU_002308-RB	K17552
MCU_010156-RA	
MCU_001174-RA	
MCU_012792-RA	K10454
MCU_012555-RA	K00033
MCU_006775-RB	
MCU_009537-RA	
MCU_012490-RA	
MCU_011787-RA	K00011
MCU_000089-RA	K00408
MCU_007594-RA	K22037
MCU_000434-RA	K01772
MCU_004172-RA	
MCU_011405-RA	K18420
MCU_002121-RA	
MCU_008051-RA	K20028
MCU_006893-RA	
MCU_009360-RA	K15287
MCU_008449-RA	
MCU_000090-RA	K13807
MCU_002668-RB	
MCU_009397-RA	K03097
MCU_000600-RA	K11093
MCU_008489-RA	K03024
MCU_011202-RB	
MCU_000450-RB	K07199
MCU_012656-RA	
MCU_009474-RA	
MCU_001678-RA	K06630
MCU_004700-RA	K01872
MCU_008921-RC	
MCU_010307-RA	
MCU_003094-RA	K01889
MCU_003898-RB	K06236
MCU_001471-RA	K14165
MCU_006864-RA	
MCU_012790-RA	K10250
MCU_005272-RA	K12825
MCU_008144-RA	K01077
MCOS_0000733701-mRNA-1	K23087
MCU_002199-RA	
MCU_013486-RA	K00207
MCU_011525-RB	K20362
MCU_005203-RA	K21358
MCU_000013-RB	K12893
MCU_006238-RA	K10418
MCU_013192-RB	K00753
MCU_006119-RE	
MCU_001395-RB	K11835
MCU_009846-RB	
MCU_007821-RB	K13207
MCU_004210-RC	K02604
MCU_011628-RA	
MCU_001805-RA	
MCU_013976-RA	
MCU_009698-RB	K02884
MCU_002813-RB	K20291
MCU_009796-RA	K03942
MCU_001998-RA	
MCU_007776-RA	
MCU_012409-RB	K00727
MCU_007171-RA	K08762
MCU_014953-RA	K04079
MCU_003840-RA	
MCU_011958-RA	
MCU_008837-RB	
MCU_001397-RA	
MCU_014322-RC	
MCU_003470-RA	
MCU_001295-RA	K17598
MCU_004393-RA	
MCU_000049-RB	K16483
MCU_009939-RC	
MCU_004816-RA	K05853
MCU_009119-RA	
MCU_006696-RB	K22524
MCU_014094-RA	
MCU_009242-RB	
MCU_002436-RA	K23802
MCU_012498-RA	K16910
MCU_012502-RB	
MCU_006684-RA	
MCU_007170-RA	K18166
MCU_013680-RA	K13649
MCU_001482-RA	
MCU_005224-RA	K18669
MCU_002807-RA	
MCU_008021-RB	
MCU_012876-RA	
MCU_013983-RA	
MCU_005833-RA	K10418
MCU_007075-RA	K02187
MCOS_0000894401-mRNA-1	
MCU_010551-RA	
MCU_009532-RA	K02867
MCU_003812-RB	K24104
MCU_009216-RA	
MCU_006628-RA	
MCU_006840-RB	K13806
MCU_002141-RC	
MCOS_0000084301-mRNA-1	K17785
MCU_003105-RD	K06628
MCU_001005-RB	
MCU_002770-RB	
MCU_008445-RA	
MCU_003765-RA	
MCU_006635-RB	K00760
MCU_010124-RA	
MCU_006556-RA	
MCU_000833-RA	K12485
MCU_005195-RA	
MCU_006895-RB	K06210
MCU_009380-RA	K10766
MCU_010808-RD	K00573
MCU_006371-RA	
MCU_010722-RA	
MCU_005238-RA	K01082
MCU_002510-RD	
MCU_008205-RA	K01875
MCU_010353-RA	
MCU_004644-RB	
MCU_005450-RA	
MCU_004416-RA	
MCU_003274-RA	
MCU_009604-RB	
MCU_014501-RA	
MCU_011883-RB	K04559
MCU_011887-RB	
MCU_005648-RC	K04699
MCU_004056-RB	K01619
MCU_006837-RA	
MCU_006982-RA	K02959
MCU_007796-RB	
MCU_003277-RA	K01873
MCU_007322-RA	K03544
MCU_010683-RB	K20726
MCU_013426-RA	K01301
MCU_006722-RB	K21813
MCU_012307-RA	
MCU_011621-RA	K20412
MCU_010077-RB	K02328
MCU_003609-RA	K24426
MCU_001357-RA	K00693
MCU_005034-RA	K08796
MCU_001261-RB	K01084
MCU_008940-RA	K24369
MCU_005387-RA	
MCU_006477-RA	K04097
MCU_008085-RA	K15074
MCU_004582-RB	K00710
MCU_007475-RA	
MCU_009055-RB	
MCU_001202-RA	K11314
MCU_006384-RB	
MCU_000175-RA	K06130
MCU_013317-RA	
MCU_003731-RB	K09848
MCU_006169-RA	K10251
MCU_012700-RA	
MCU_010383-RA	K14415
MCU_004879-RB	K11251
MCU_010622-RB	
MCU_013621-RA	K10418
MCU_003914-RA	K12900
MCU_000558-RA	K03966
MCU_006029-RB	K07542
MCU_000317-RA	
MCU_000459-RB	K00814
MCOS_0000252301-mRNA-1	K04079
MCU_004029-RA	K24051
MCU_011069-RA	K17286
MCU_007817-RE	
MCU_004911-RA	
MCU_005362-RB	K10408
MCU_009423-RA	K11374
MCU_007429-RA	
MCU_006628-RB	
MCU_008556-RA	K17919
MCU_011369-RB	K10421
MCU_000947-RA	K14943
MCU_006883-RB	
MCU_002090-RA	
MCU_003578-RA	
MCU_008246-RA	
MCU_010330-RB	K11479
MCU_003148-RA	
MCU_004607-RA	
MCU_006693-RA	
MCU_008155-RA	K15290
MCU_002936-RB	K05699
MCU_003983-RB	
MCU_010720-RB	
MCU_003883-RC	
MCU_007940-RB	K00616
MCU_012098-RA	K04887
MCU_007112-RB	K15104
MCU_005760-RA	
MCU_009106-RB	K20412
MCU_012971-RA	K05725
MCU_001276-RC	K10798
MCU_008863-RA	K11321
MCU_003127-RA	
MCU_006185-RA	K14640
MCU_010566-RA	
MCU_003311-RA	K11862
MCU_001286-RB	
MCU_003469-RE	
MCU_008201-RE	
MCU_000306-RC	K08886
MCU_008507-RA	K13539
MCU_001017-RA	K11295
MCU_012205-RA	
MCU_000224-RA	
MCU_001839-RC	
MCU_000651-RA	K14295
MCU_009749-RA	
MCU_002161-RB	
MCU_008691-RA	K08815
MCU_002968-RA	K14689
MCU_006977-RA	K23013
MCU_002728-RB	K21407
MCU_001389-RB	
MCU_007553-RA	
MCU_002620-RA	K01265
MCU_002364-RA	K06086
MCU_000815-RA	K04282
MCU_009935-RA	
MCU_000449-RA	K01482
MCU_010815-RA	
MCU_002077-RA	
MCU_002177-RA	
MCU_001445-RA	
MCU_004520-RB	K06497
MCU_007490-RB	
MCU_002920-RA	
MCU_005378-RA	K00894
MCU_003842-RA	
MCU_006027-RB	
MCU_010503-RC	K24243
MCU_004425-RA	K01809
MCOS_0000674701-mRNA-1	
MCU_007001-RD	
MCU_012931-RA	K17382
MCU_000659-RA	K12191
MCU_005405-RB	K08765
MCU_008375-RB	K24501
MCU_010332-RA	K04461
MCU_008844-RA	
MCU_003596-RA	
MCU_011299-RC	K01883
MCU_000264-RB	K03068
MCU_000411-RB	K04988
MCU_001897-RA	K20366
MCU_010774-RA	
MCU_002876-RA	
MCU_012480-RA	
MCU_003660-RD	
MCOS_0000489001-mRNA-1	
MCU_009951-RA	
MCU_002758-RA	
MCU_005027-RC	
MCU_011976-RA	K08738
MCU_006326-RA	K02541
MCU_009598-RA	K08807
MCU_012836-RC	
MCU_004463-RA	K01488
MCU_009126-RA	
MCU_000756-RA	K22074
MCU_008299-RA	K18245
MCU_006842-RA	
MCU_011621-RB	K20412
MCU_013245-RA	K11495
MCU_007900-RA	K08869
MCU_001876-RA	
MCU_002153-RA	K01255
MCU_000893-RA	K24242
MCU_005077-RA	
MCU_001317-RD	K12736
MCU_002253-RA	
MCU_003496-RA	
MCU_005893-RA	
MCU_007940-RA	K00616
MCU_003719-RA	
MCU_014283-RA	K10418
MCU_004548-RC	
MCU_007740-RA	K02513
MCU_007706-RC	K10448
MCOS_0000835901-mRNA-1	K00025
MCU_006166-RA	K08869
MCU_002135-RA	K15153
MCU_003450-RA	
MCU_002258-RB	K09008
MCU_002957-RB	K11214
MCU_008709-RB	K07767
MCU_007010-RG	K07969
MCU_002699-RA	
MCU_003456-RC	K00966
MCU_012197-RA	K14343
MCU_003486-RA	
MCU_004584-RA	K13885
MCU_008112-RC	K14569
MCU_009820-RA	
MCU_004833-RA	K17286
MCU_012047-RA	K15442
MCU_005209-RA	K01593
